Author Alias,Comment Age,Comment Text
@juanvillamayor3676,2 weeks ,Este actor así como toda la película se merecen los Oscars. Es una obra de arte impactante de Nolan
@JaggusBaro,1 month ,I’m rooting for Cillian’s first oscar! He truly deserves it.
@nealfager8126,12 days ,"I don't believe there is any meaning to life other than what we each give it ourselves but some moments and movies are so good they feel extremely important. 

This movie is as moving powerful and feels as important or like it was meant to be made more than almost any I've ever seen. "
@myvaulttv9045,4 weeks ,Incredible and amazing film. My man Nolan just keeps pumping out epic films. The bomb test nearly brought me tears not only because of its stunning visuals bout mostly because it made me feel like i was there and it simply took my breath away. I was sitting right next to my mom watching this masterpiece and i had to hide my tears. I cant wait for his next movie.
@nghiahuunguyen,2 weeks ,Absolutely amazing film. I tested up in some scene. Just too powerful. Nolan does what Nolan does best. SPOILER Was going seeing how Nolan plays with time. Seeing everything coming together at the end is just amazing.
@mainmanmainlining7575,3 weeks ,I’ve seen it twice now and can’t wait to go again. A briskly paced 3 hr epic that’s essentially an action chamber piece. People in rooms planning which doesn’t sound exciting but Nolan uses pure unadulterated cinema to make it one of the most exciting movies I’ve seen on the big screen in a long long time. 
@erikwestervelt6083,3 days ,Such an incredible movie that even the TRAILER is brilliant & worth rewatching. A masterclass in direction & editing!
@fk8669,3 months ,Cillian absolutely deserves to be the lead in a movie like this. Long overdue.
@jojo1cool,6 days ,"Spoilers: 
Oppenheimer speech after the atomic bomb parallels his quote ""a few people laughed, few people cried, most were silent"""
@itrierdemaslan7711,5 days ,Christopher Nolan' gene başarısı en üst düzeyde. İnsanın insan için kurt olduğu dönemde  verdiği psikolojik savaşın anlatıldığı izlenmesi gereken müthiş bir film.
@iarplayz757,2 weeks ,This may be the best film I’ve ever watched. It is definitely the first to move me to tears three times.
@rmac1828,4 weeks ,"The film was brilliant and made you cry at the same time. It's a little fast-paced at first,  then slows down as you decipher all that's going on up towards the end"
@ttom2460,2 weeks ,"Absolutely incredible. I really hope they will academy awards. The entire cast was outstanding. Probably one of the best movies from Christopher Nolan, possibly the best one."
@averagbeast3606,3 months ,Cillian Murphy is literally the perfect cast for this role. This is going to be epic!
@Mio248,3 weeks ,"I'll just say this.

That ending sequence was insane to watch on the IMAX screen. Ludwig Göransson's score (like TeneT) was outstanding in this film. Definitely making a name for himself in my ears."
@jkerfeld,10 days ,The one flick that brought me back to theatres post-covid. I can't say I've ever been glued to my seat for 3 hours...before now. May this film bathe in all the awards and be taught in film schools for decades to come.
@vanderstewart,10 days ,"Watched in IMAX this morning and my ears still hurts, and still so grateful to be able to witness a movie so brilliantly made, about such important figure in such important time in the history, a true masterpiece"
@jedhawkins1769,2 weeks  ,"Some of these actors in the movie were former child stars and teen heartthrobs, such as Michael Angarano, Josh Peck, David Krumholtz, Devon Bostick, Alex Wolff, and Josh Harnett. All of them absolutelly killed it in this film, which is one of the biggest movies in the world breaking box office records. They have all moved on from their child stardom days to the greener pastures of blockbuster epics in their adult years."
@Abhishekkumar-nn5nz,3 weeks ,If Cillian doesn't win Oscar for his acting then Oscar is totally a biased award platform. Thanks to Chris Nolan for creating such a masterpiece. Don't understand how come movie like Barbie could make a huge collection at theatres.
@mohammedakif2730,3 months  ,If you feel goosebumps from just the trailer itself then imagine how did you feel when you watch this film in the big screen.
@seda_idzx,2 weeks ,"Uzun zaman sonra gördüğüm en etkileyici fragmanlardan biriydi , Oppenheimer gerek kadrosuyla gerek konusu ile tüm zamanların alışılmamış duygu dolu filmini ortaya koydu kesinlikle izlenilmesi gereken bir eser."
@shardapeeth22,11 days ,Here after watching the movie - this trailer actually gives chills down the spine ! bravo !
@amoghtare3780,10 days  ,"Just hopped in here to watch this trailer again was like 2 weeks  I watched this masterpiece on a whole big screen and obviously for me was nolan's first movie to experience on big screen never knew I would get so much intense chills even tho I didn't got to watch in imax kinda regret that but still on normal screen it was damn overwhelming as well.. every particular scene holds that deeper meaning which makes totally our mind think for every seconds especially each and every character's mind games they play over and deep serious background music in every scene is what really made it more inquisitive yeah the plot represents about history, chemistry, politics but more in a interesting way that attracts deeper attention within.. we all do imagine a lot of stuff being inside our head thoughts which creates that imagination and the way he keeps on imagining the big bang I also really felt that similarity in me coz I'm also like a thinker and one who imagines a lot all the time living inside head.. one of the most trembling scene obviously was the explosion just like ""light travels faster than sound"" wasn't able to take my eyes off from such a giant fireball everything went dead silence for seconds but when the sound blasted in felt like a heavy strike on my face just like Ali's power cross  yeah and I shooked little pulled back into layed position on seat tremendous feeling tho.. horrifying scenes as well was literally shivering and ending scene felt me with absolute mesmerism of about the calculations and chain reaction.. first time hearing the music ""can you hear the music"" lured up my mind with such a enticement that I'm still constantly obsessed with it and did felt some imagination and connection in my head through that music.. but truly I enjoyed it all.. tears, emotion, intense feeling, terror, dark reality, imagination is like what i got the actual feel from it and don't know if I could ever get this type of  feeling experience from any other movie"
@andrewcastillo553,4 weeks ,"The ending really did bring a sense of dread knowing although he didn't set off a chain reaction that would destroy the atmosphere, he may have set one off that would result in our own destruction by our own hands."
@ArwenUndomiel406,3 weeks ,Both my brother and myself cried after the credits started rolling. Long time since I’ve seen such a good movie. Perfect for our age. Bloody hell!
@bensmyth450,1 month  ,"Cillian Murphy is giving me chills from the trailer alone. Anyone who’s seen Peaky Blinders, or really any of his roles, knows he has unbelievable chops."
@calebogden,2 weeks ,"Cillian Murphy and Robert Downey Jr could have switched roles and it would have been equally gripping for both characters. That was one thing that stood out to me. They were both perfect for their roles, but also each others role. IMO"
@rabiasimsek591,13 days ,"Konusu oldukça akıcı ,ve tabi ki Nolan'ın yönetmenliğiyle müthiş etkileyici bir başyapıt. Diyaloglar, sahneler nefes almadan izletiyor.Mutlaka izlenmeli."
@U2Bdewd,12 days ,"One of the greatest movies ive ever seen .
A true cinematic masterpiece…"
@abhijeettripathy8661,3 weeks  ,If movie making is an art then Nolan is a  master... Only Nolan can make a movie which is absolutely boring into something remarkable...The pace of the movie is so fast and the music it sometimes feel like a thriller.... Both Cilian and Robert Downey Jr acting are top notch.. Last 5 minutes conversation between Einstein and openhimer is one of the finest scene in movie history... Although it's not a theatre type movie but still.... you will see the creativity of the director...
@_-4232,2 weeks ,Cillian Murphy stole the show but I gotta give credit to Robert downey jr’s OUTSTANDING performance. What a movie.
@ricpowers1475,3 months  ,"Cillian Murphy is, in my opinion, the best actor alive. His intensity grips the audience into whatever role he is cast. Concession sales plummet."
@MohamedHassan-nx7os,4 weeks ,"This is hands down one of the best movies ever made and certainly one of the most important. I have seen it 4 times and each time I walked out of the theatre devastated, scared, haunted and speechless. The score is one of the best in history. Haunting. The ending gave me chills. Christopher Nolan is the best film maker of the 21st century imo."
@user-rn8jp1me4q,12 days ,Etkileyici ve sürükleyici sahneler içerdiği aşikar izlenmesi gereken çok güzel bir film. Bir başarı öyküsü daha 
@liongalahad,2 weeks ,This may be the greatest movie I have seen in my entire life. I am absolutely blown away by the magnitude of this film. Wow
@sifrost6869,2 weeks ,"It is such a good movie I didn't even realized the time had flown by.
Its an epic movie has to be the best I have seen this year!"
@SurajKumar-ln8ij,2 weeks ,U know the film is more than good if u keep watching trailer even after watching it in theatres.
@shahirabdullah5438,3 months ,The radioactive detection sound gives me chills. It's so subtle yet so terrifying.
@user-mm8ei9nx4o,8 days ,"I watched it two days  with a friend and my friend thinks it's okay cuz he ain't interested in physics or history unlike me so it was kinda boring for him and I totally get that, besides the topic I adored the deepness of the dialogs and the hidden messages in some scenes, I loved the directing and editing of the scenes, and the background music is a whole other thing! to me this is the greatest movie I've seen in my life, this work of art is a MASTERPIECE."
@Ymirheim,4 weeks ,You know a movie is good when you come back and watch the trailer after you already saw the film.
@sibelbaser5042,2 weeks ,"Konu,oyunculuk,oyucular,ve tabi ki Nolan'ın yönetmenliğiyle müthiş etkileyici bir başyapıt. Diyaloglar, sahneler nefes almadan izletiyor.Mutlaka izlenmeli."
@devashishjain5493,3 weeks ,"Loved how Einstein was brilliantly positioned in the movie, it felt like something special is about to happen. Even though in reality he wasn't involved."
@polynesianmoka89,11 days ,"I just saw this and I instantly came back to rewatch this trailer. Christopher Nolan never ceases to amaze me with his films, and ""Oppenheimer"" is no exception. A masterpiece from beginning to end. The only fault I could find was that it had to end."
@SipplioChannel,2 months ,"Okay but this cast is absolutely mind boggling. I love that he sticks with his friends for nearly every movie, but wow, this is just insane. I can’t wait to see this"
@aaronlo6952,4 weeks ,"This movie and Cillian Murphy's facial acting gave an incredible look into Oppenheimer's mind and regret, grateful that Nolan managed to bring such a big audience for a movie about an important historical figure and event, and glad the movie completely delivered"
@viviensamuel1834,3 weeks ,"This is one of the best trailers I’ve seen in a long time. I keep coming back to this even after the watching the movie. 

This and Dune 2 trailers are the first trailers I’ve been super hyped for since Endgame."
@simonvance8054,2 weeks ,"Excellent movie, seen it twice and probably will again.. Cillian Murphy was brilliant as was the whole cast and direction."
@kemaltekeoglu-gt5ut,4 days ,Hiçbir zaman bu filmdeki kadar ekrana yapışmış hissetmemiştim. Şüphesiz Nolan'ın en sevdiğim filmi ve aslında tüm zamanların en sevdiğim filmlerinden biri. soluksuzca izlediğim ve izleyeceginiz bir film Kesinlikle inanılmaz.
@nealfager8126,12 days  ,"""...The destroyer of worlds"" ""The most important thing to happen in the history of the human race"" 2 of the most powerfully moving lines I've ever heard in any movie ever!"
@user-iq1rl4gl1f,3 months ,Give the cast and crew a big round of an applause for sacrificing themselves from a large nuclear bomb explosion during filming make the movie felt more real and authentic
@WackLantern,3 weeks ,"You know it’s a real movie when all the film students say the movie is phenomenal, and all the non-film students say the second half was so boring"
@jazzreldeguzman,3 weeks ,"I cried when Oppenheimer said ""I'm a Barbie girl in a Barbie world"". truly a movie of the ages"
,3 weeks ,This movie was astoundingly good. Not often you get something incredible like this. Also in 70mm it's just gorgeous to watch.
@PaganWayz,3 days ,I must be completely honest. This movie was 100% without a doubt an amazing movie.
@bobhill3941,3 weeks ,"My mom and I just went to see Oppenheimer at landmark theatres and it was fantastic,, we both really enjoyed it. It was very well done and well acted and I recognized a few of the actors. To us, it was a constant suspenseful slow burn full of intrigue, showcasing the chaotic, tortured life of a very smart man who did his best to manage everything, including his personal life, working through impossible stress and impossible deadlines but coming through in the end and being hated and feeling personally conflicted. I hated how he was treated in the end, it was cruel and unfair, but I was proud that he had people fighting for him."
@Barry6701,3 months ,"Man, I hope Cillian gets that well-deserved Oscar for this, from 28 days later to peaky Blinders and amd everything in between and now a movie that might push him to that recognition. One of the greatest actors in the last 20 years."
@imagindraco7971,3 weeks ,"after watching this movie, I still in a shock ""is this an actually exist? such genius? that directed this massive project?"" Nolan did a great job here, words cannot explain how much I love this movie"
@o.d.6488,3 weeks ,Just give this man his Oscar already 
@maliknawaz8043,2 days ,"""you're the man who gave them the power to destroy themselves...and the world is not prepared ""- this wasn't just a dialogue, it was a prophecy!!! Oppenheimer storyline dialogue  "
@theinfinitynerd4954,3 weeks ,"The absolute misdirect of the stamping of feet you hear in the trailer is genius.

He really had us all thinking that was the bomb."
@urbankoto,3 weeks ,"Finished watching the film this morning. Superb direction , great acting and an open ending left for viewers to interpret the consequences of the arms race we are heading to "
@erikdayne5429,3 months ,This is an example of a true story being more incredible than anything Hollywood could come up with
@dollarsaurus01,4 weeks ,"Reading these comments makes me kind of sad. I came here expecting the same kinds of reactions I had, but all anyone can seem to talk about is how boring it is and whatever bogus controversies people are hung up on. I thought it was terrific. Dense, engrossing and full of complicated ethics and no easy answers. More summer movies for adults like this please"
@serpilcelik3538,11 days ,Süper soluksuz hiç başından kalkmadan izlenebilir bi film kesinlikle inanılmaz..
@mehmet3231,8 days ,Filmin ana fikrini begecenecigimi düşünmemiştim ama 3 saat boyunca bağımlısı oldum anlatilis şekli görseli sesi herşey mükemmel gerçekten bir başyapıt
@topstories83,4 weeks ,One of the masterpiece movie by Christopher Nolan
@its_karthi_yoo,13 days ,Movie was amazing. Just watched it. I'll highly recommend to watch it in an IMAX theater.
@doomer-jg7ct,3 months ,"If you ever have regrets, just imagine being this man.

Being a scientist as important as Oppenheimer is a blessing and a curse.
 You make humanity evolve but also at the same time you give them something to destroy themselves."
@StaticBlaster,4 weeks ,"I swear to God, this better get a best picture nomination. If it doesn't, I'll be pissed. I’m still gobsmacked by how well this movie was directed and filmed. The cinematography, lighting, visual effects, sound design, and acting are all flawless."
@Sanemi-id8zt,3 weeks  ,Every aspect of this movie is so great that it made me realise i've witnessed a masterpiece.
@autumnrryan,12 days ,Saw it with my mom today! We both loved it! Epic movie!
@shaunig6716,4 weeks ,"The last line of the Tom Morton-Smith play, which I remember from years  as it was so impactful - “I feel like I’ve left a loaded gun in a playground”  And then comes the final line “I am become death, the destroyer of worlds” black out, end of play.  Wow, I remember that experience so well, it was an incredible play! Will be interesting to see it translated to the big screen"
@jordansherman8057,3 weeks ,"Cillian Murphy is an absolutely phenomenal actor.. One of the best, in my opinion."
@zakkamkraut,1 month ,"The silence during the bomb was completely surprising. I think it was genius. Not only did it mirror the quiet they were actually experiencing, but they were horrifyingly surprised in that moment too. It actually served the uncomfortable tension of the moment far better than an MCU explosion for the 10 millionth time."
@elainegmorrison,13 days ,"I wasn't going to watch it but I enjoyed the textbook names of the physicists showing up one by one. It was a very captivating movie, considering I was dead set against a bomb-making film. The dialogue was excellent and as has been mentioned the soundtrack underlined the tension all the way through. It travelled and didn't lag for one moment. It wasn't light entertainment, nor was it particularly deep, but highly political and I suppose a tale of when politics slip into a personal battle...and for some reason this seems to be appealing. And for some reason a movie is made about someone who attempted to poison his tutor, and for that matter I was surprised there was no sarcasm about the intentional lack of apples at Los Alamos. It seemed to be the tone of the movie to skim over and summarize a fair number of items expediently."
@nataliyasattarova9423,4 weeks ,"the movie is very well made. brilliant cinematography, script and acting"
@mantrachhaya6835,2 weeks ,"It gives goosebumps everytime i watch this,"
@csm2tv568,10 days ,Film efsane zevkle izlenebilecek sınırları zorlayan ufuk ötesi izlemeye değer...
@12mixes55,11 days ,"nolan made a 3 hour full on dialogue movie a literal action film, my heart was pounding so fast and i have never been so into a movie like that before"
@davidemanuelrosini5791,3 months ,"Cillian is one of the greats of this generation. He looks utterly transformed, physically but also the mannerisms are so on-point. Even just the eyes...This is gonna be spectacular."
@nithinkrishna5705,3 weeks ,"Now that we’ve seen this movie, we can easily say that this movie will be remembered for decades. this movie will be our generation’s “The godfather”"
@visceralcinema,3 weeks ,"I can safely say one of the best pieces of cinema created in a while. One actually walks away from this film feeling inspired and not insulted (from w*ke messaging)!

Chris Nolan is probably one of the last great Auteur Filmmakers of the 21st century. "
@halilcay5210,3 days ,İnanılmaz bir film resmen içinde kayboldum ve bitmesini hiç istemedim inanılmaz etkileyici bir film
